Below,Topics,Alpha,Beta,Coherence
3,6,symmetric,0.01,-4.233430077724798
3,6,symmetric,0.31,-3.7694798548653377
3,6,symmetric,0.61,-4.157444408907961
3,6,symmetric,0.9099999999999999,-4.685365393946284
3,6,symmetric,symmetric,-4.042746632733346
3,6,asymmetric,0.01,-10.101463096732003
3,6,asymmetric,0.31,-14.346117898229535
3,6,asymmetric,0.61,-15.30785922295248
3,6,asymmetric,0.9099999999999999,-15.302853351472393
3,6,asymmetric,symmetric,-13.963028276393173
3,7,0.01,0.01,-4.818197824916908
3,7,0.01,0.31,-4.063349697620356
3,7,0.01,0.61,-5.495701870169934
3,7,0.01,0.9099999999999999,-7.418518785083863
3,7,0.01,symmetric,-4.674534567257238
3,7,0.31,0.01,-4.894725141275628
3,7,0.31,0.31,-5.823393037344146
3,7,0.31,0.61,-6.330643254238782
3,7,0.31,0.9099999999999999,-7.912039931163034
3,7,0.31,symmetric,-5.097408990439478
3,7,0.61,0.01,-5.143657113567576
3,7,0.61,0.31,-5.29085178537477
3,7,0.61,0.61,-4.034826392465985
3,7,0.61,0.9099999999999999,-3.0944522685699147
3,7,0.61,symmetric,-5.098017667872256
3,7,0.9099999999999999,0.01,-5.320061593622709
3,7,0.9099999999999999,0.31,-3.040711454685681
3,7,0.9099999999999999,0.61,-2.702993156378867
3,7,0.9099999999999999,0.9099999999999999,-2.633366541339009
3,7,0.9099999999999999,symmetric,-4.7217049896143495
3,7,symmetric,0.01,-4.535853930000856
3,7,symmetric,0.31,-4.526080160780593
3,7,symmetric,0.61,-5.820125554657096
3,7,symmetric,0.9099999999999999,-8.131145522103994
3,7,symmetric,symmetric,-4.8116097311912345
3,7,asymmetric,0.01,-8.274275938312291
3,7,asymmetric,0.31,-13.670194681776673
3,7,asymmetric,0.61,-14.159521039150599
3,7,asymmetric,0.9099999999999999,-14.606874884704968
3,7,asymmetric,symmetric,-14.328764982991574
3,8,0.01,0.01,-4.650869815552154
3,8,0.01,0.31,-4.259196842062922
3,8,0.01,0.61,-6.8090766141272985
3,8,0.01,0.9099999999999999,-8.462853940832138
3,8,0.01,symmetric,-4.334360915945562
3,8,0.31,0.01,-5.654056076581904
3,8,0.31,0.31,-7.068717076504387
3,8,0.31,0.61,-8.036598987669278
3,8,0.31,0.9099999999999999,-10.715829815954415
3,8,0.31,symmetric,-6.301742553946629
3,8,0.61,0.01,-5.921983604981087
3,8,0.61,0.31,-4.887957758810337
3,8,0.61,0.61,-3.8184734281908024
3,8,0.61,0.9099999999999999,-2.812627250564872
3,8,0.61,symmetric,-5.723003578100215
3,8,0.9099999999999999,0.01,-5.9971897283391975
3,8,0.9099999999999999,0.31,-3.0125977924569174
3,8,0.9099999999999999,0.61,-2.712191574206508
3,8,0.9099999999999999,0.9099999999999999,-2.618529600239366
3,8,0.9099999999999999,symmetric,-5.146041993293931
3,8,symmetric,0.01,-4.89019194071438
3,8,symmetric,0.31,-6.421773813349546
3,8,symmetric,0.61,-9.141147843913949
3,8,symmetric,0.9099999999999999,-11.334786412515012
3,8,symmetric,symmetric,-5.5393223147618516
3,8,asymmetric,0.01,-10.173623354740869
3,8,asymmetric,0.31,-13.089609627594065
3,8,asymmetric,0.61,-12.773599963477661
3,8,asymmetric,0.9099999999999999,-12.819206278053466
3,8,asymmetric,symmetric,-14.255583027031026
3,9,0.01,0.01,-5.635079634640265
3,9,0.01,0.31,-5.234125338980634
3,9,0.01,0.61,-8.265383534509976
3,9,0.01,0.9099999999999999,-9.415623071757583
3,9,0.01,symmetric,-5.892232578868244
3,9,0.31,0.01,-6.451349732883378
3,9,0.31,0.31,-8.054613449958017
3,9,0.31,0.61,-9.435174480188133
3,9,0.31,0.9099999999999999,-11.337934319163756
3,9,0.31,symmetric,-6.46912050867051
3,9,0.61,0.01,-6.133909205804148
3,9,0.61,0.31,-5.387278713203853
3,9,0.61,0.61,-3.3637306776107816
3,9,0.61,0.9099999999999999,-2.6294675564008267
3,9,0.61,symmetric,-6.077798147212331
3,9,0.9099999999999999,0.01,-6.4453792204402
3,9,0.9099999999999999,0.31,-3.128000097419365
3,9,0.9099999999999999,0.61,-2.6917001512938246
3,9,0.9099999999999999,0.9099999999999999,-2.593957833994956
3,9,0.9099999999999999,symmetric,-5.603277496827874
3,9,symmetric,0.01,-6.3456696827120584
3,9,symmetric,0.31,-7.485675468553241
3,9,symmetric,0.61,-9.743539182605728
3,9,symmetric,0.9099999999999999,-11.280836319769097
3,9,symmetric,symmetric,-7.469511176356188
3,9,asymmetric,0.01,-11.581257806833744
3,9,asymmetric,0.31,-13.644801344024174
3,9,asymmetric,0.61,-12.824809179342667
3,9,asymmetric,0.9099999999999999,-13.094232960103637
3,9,asymmetric,symmetric,-14.110430468725049
